Provinsi/Kabupaten/Kota/Indonesia,,
,Rata-rata Lama Sekolah (RLS) menurut Jenis Kelamin (Tahun),
,Laki-laki,Perempuan
Bandung Barat,8.77,7.97
Pangandaran,8.42,7.89
Kota Bogor,11.09,10.37
Kota Sukabumi,10.72,10.11
Kota Bandung,11.61,11.12
Kota Cirebon,10.84,10.4
Kota Bekasi,12.52,12.11
Kota Depok,12.2,11.47
Kota Cimahi,11.79,11.23
Kota Tasikmalaya,9.79,9.41
Kota Banjar,9.26,8.59
JAWA TENGAH,8.47,7.84
Cilacap,7.98,7.27
Banyumas,8.39,7.83
Purbalingga,7.6,7.24
Banjarnegara,7.24,6.96
Kebumen,8.25,7.55
Purworejo,9.31,8.36
Wonosobo,7.16,6.79
Magelang,8.37,7.76
Boyolali,9.03,7.88
Klaten,9.92,8.85
Sukoharjo,10.15,9.88
Wonogiri,8.37,7.46
Karanganyar,9.74,8.75
Sragen,8.5,7.4
Grobogan,7.9,7.03
Blora,7.86,7.2
Rembang,8.4,7.41
Pati,8.68,7.78
Kudus,9.7,9.17
Jepara,8.7,7.88
Demak,8.83,7.89
Semarang,8.59,7.95
Temanggung,7.76,7.48
Kendal,8.42,7.52
Batang,7.58,7.07
Pekalongan,7.85,7.26
Pemalang,7.16,6.31
Tegal,7.84,6.91
Brebes,6.94,6.16
Kota Magelang,11.73,11.3
Kota Surakarta,11.67,11.09
Kota Salatiga,11.89,11.23
Kota Semarang,11.56,10.82
Kota Pekalongan,9.56,9.23
Kota Tegal,9.58,9.09
D I YOGYAKARTA,10.49,9.93
Kulon Progo,9.53,9.15
Bantul,10.42,9.97
Gunung Kidul,8.2,7.33
Sleman,11.7,11.17
Kota Yogyakarta,12.26,11.93
JAWA TIMUR,8.81,7.99
Pacitan,8.17,7.7
Ponorogo,8.27,7.57
Trenggalek,8.28,7.8
Tulungagung,8.96,8.46
Blitar,8.15,7.9
Kediri,8.8,7.97
Malang,8.37,7.62
Lumajang,7.68,6.85
Jember,7.24,6.23
Banyuwangi,8.4,7.28
Bondowoso,7.16,5.9
Situbondo,7.73,6.41
Probolinggo,7.08,5.84
Pasuruan,8.14,6.97
Sidoarjo,11.26,10.8
Mojokerto,9.71,8.66
Jombang,9.31,8.38
Nganjuk,8.76,7.86
Madiun,8.62,7.92
Magetan,9.3,8.45
Ngawi,8.36,7.57
Bojonegoro,8.2,7.31
Tuban,8.02,7.12
Lamongan,9.28,8.28
Gresik,10.35,9.99
Bangkalan,6.93,5.55
Sampang,5.79,4.67
Pamekasan,8.06,6.6
Sumenep,7.22,5.6
Kota Kediri,11.48,10.69
Kota Blitar,11.01,10.75
Kota Malang,11.74,11.33
Kota Probolinggo,10.18,9.41
Kota Pasuruan,10.26,9.81
Kota Mojokerto,11.74,11.18
Kota Madiun,12.39,11.75
Kota Surabaya,11.46,10.91
Kota Batu,10.14,9.87
BANTEN,9.85,9.22
Pandeglang,7.96,7.11
Lebak,7.25,6.3
Tangerang,9.51,8.84
Serang,8.47,7.66
Kota Tangerang,11.64,11.18
Kota Cilegon,10.72,10.07
